timestamp	pids	cpu_pct	rss_gb	system_mem_mb
2026-09-26T04:48:24+00:00	3727118	0.0	0.012	2406
2026-09-26T04:48:54+00:00	3727118,3727121,3727140	100.0	0.460	2677
2026-09-26T04:49:24+00:00	3727118,3727121,3727140	99.9	0.460	2682
2026-09-26T04:49:54+00:00	3727118,3727121,3727140	99.9	0.460	2686
2026-09-26T04:50:24+00:00	3727118,3727121,3727140	99.9	0.460	2689
2026-09-26T04:50:54+00:00	3727118,3727121,3727140,3727983,3727984	273.7	1.123	2774
2026-09-26T04:51:25+00:00	3727118,3727121,3728236,3728301,3728333,3728365,3728397	1478.2	5.360	6525
2026-09-26T04:51:55+00:00	3727118,3727121,3728236,3728531,3728563,3728595,3728627	2734.9	8.844	7045
2026-09-26T04:52:25+00:00	3727118,3727121,3728236,3729323,3729355,3729387,3729419	2829.7	8.904	7055
2026-09-26T04:52:55+00:00	3727118,3727121,3728236,3729720,3729752	2918.3	4.372	4045
2026-09-26T04:53:25+00:00	3727118,3727121,3728236,3730214,3730246,3730278,3730310	2907.3	8.040	6062
2026-09-26T04:53:55+00:00	3727118,3727121,3728236,3730594,3730626,3730658,3730690	2932.7	9.241	6291
2026-09-26T04:54:25+00:00	3727118,3727121,3728236,3731165,3731197,3731229,3731261	2939.3	8.927	7237
2026-09-26T04:54:55+00:00	3727118,3727121,3728236,3731651,3731683,3731715,3731747	2948.2	7.946	5788
2026-09-26T04:55:25+00:00	3727118,3727121,3728236,3731836,3731868,3731900,3731932	2952.9	7.620	5627
2026-09-26T04:55:55+00:00	3727118,3727121,3728236,3732300,3732332,3732364,3732396	2959.9	7.202	5291
2026-09-26T04:56:25+00:00	3727118,3727121,3728236,3732869,3732901,3732933,3732965	2962.9	8.579	6798
2026-09-26T04:56:55+00:00	3727118,3727121,3728236,3733353,3733385,3733420,3733452	2967.6	8.552	6646
2026-09-26T04:57:25+00:00	3727118,3727121,3728236,3733506,3733538,3733570,3733602	2968.8	9.607	7791
2026-09-26T04:57:55+00:00	3727118,3727121,3728236,3733890,3733922,3733954,3733986	2972.2	8.755	6983
2026-09-26T04:58:25+00:00	3727118,3727121,3728236,3734540,3734572,3734604,3734636	2971.8	8.090	6262
2026-09-26T04:58:55+00:00	3727118,3727121,3728236,3734913,3734945,3734977,3735009	2975.8	8.094	6215
2026-09-26T04:59:25+00:00	3727118,3727121,3728236	2974.0	1.513	5033
2026-09-26T04:59:56+00:00	3727118,3727121,3728236,3735550,3735582,3735614,3735646	2974.9	8.956	6999
2026-09-26T05:00:26+00:00	3727118,3727121,3728236,3736234,3736266,3736298,3736330	2973.8	8.144	6090
2026-09-26T05:00:56+00:00	3727118,3727121,3728236,3736616,3736648,3736680,3736712	2976.7	8.010	6039
2026-09-26T05:01:26+00:00	3727118,3727121,3728236,3737016,3737048,3737080,3737112	3119.7	7.071	3910
2026-09-26T05:01:56+00:00	3727118,3727121,3728236,3737247,3737279,3737311,3737343	2979.4	8.480	6691
2026-09-26T05:02:26+00:00	3727118,3727121,3728236,3738061,3738093,3738125,3738157	2985.8	8.671	5945
2026-09-26T05:02:56+00:00	3727118,3727121,3728236,3738292,3738324,3738356,3738388	2980.2	9.595	7755
2026-09-26T05:03:26+00:00	3727118,3727121,3728236,3738965,3738997,3739029,3739061	2982.7	8.149	5956
2026-09-26T05:03:56+00:00	3727118,3727121,3728236,3739204,3739236,3739268,3739300	2980.8	7.401	5348
2026-09-26T05:04:26+00:00	3727118,3727121,3728236,3739997,3740029,3740061,3740093	2983.9	7.400	5368
2026-09-26T05:04:56+00:00	3727118,3727121,3728236,3740229,3740261,3740293,3740325	2982.8	9.873	8184
2026-09-26T05:05:26+00:00	3727118,3727121,3728236,3740676,3740708,3740740,3740772	2984.7	9.358	7346
2026-09-26T05:05:56+00:00	3727118,3727121,3728236,3740907,3740939,3740971,3741003	2982.8	7.698	5855
2026-09-26T05:06:26+00:00	3727118,3727121,3728236,3741709,3741741,3741773,3741805	2984.6	7.451	5519
2026-09-26T05:06:56+00:00	3727118,3727121,3728236,3742090,3742122,3742154,3742186	2996.8	8.777	5657
2026-09-26T05:07:27+00:00	3727118,3727121,3728236,3742350,3742382,3742414,3742446	2985.4	9.634	7666
2026-09-26T05:07:57+00:00	3727118,3727121,3728236,3742736,3742768,3742800,3742832	2991.0	8.816	5956
2026-09-26T05:08:27+00:00	3727118,3727121,3728236,3743388,3743420,3743452,3743484	2985.2	8.610	6812
2026-09-26T05:08:57+00:00	3727118,3727121,3728236,3743778,3743810,3743842,3743874	2987.6	7.366	5158
2026-09-26T05:09:27+00:00	3727118,3727121,3728236,3743954,3743986,3744018,3744050	2985.9	7.839	5899
2026-09-26T05:09:57+00:00	3727118,3727121,3728236,3744414,3744446,3744478,3744510	2987.7	8.113	6093
2026-09-26T05:10:27+00:00	3727118,3727121,3728236,3745015,3745047,3745079,3745111	2985.8	9.520	7748
2026-09-26T05:10:57+00:00	3727118,3727121,3728236,3745508,3745540,3745572,3745604	2987.9	9.724	7829
2026-09-26T05:11:27+00:00	3727118,3727121,3728236	2986.0	1.541	3907
2026-09-26T05:11:57+00:00	3727118,3727121,3728236,3746081,3746114,3746146,3746184	2987.4	7.469	5556
2026-09-26T05:12:27+00:00	3727118,3727121,3728236,3746939,3746971,3747003,3747035	3003.6	8.103	4899
2026-09-26T05:12:57+00:00	3727118,3727121,3728236,3747092,3747124,3747156,3747188	2988.4	8.926	7089
2026-09-26T05:13:27+00:00	3727118,3727121,3728236,3747839,3747871,3747903,3747935	2995.2	10.026	7020
2026-09-26T05:13:57+00:00	3727118,3727121,3728236,3747989,3748021,3748053,3748085	2988.2	10.129	7917
