timestamp	pids	cpu_pct	rss_gb	system_mem_mb
2026-09-26T02:45:13+00:00	3200107	0.0	0.012	2173
2026-09-26T02:45:43+00:00	3200107,3200110,3200129	99.7	0.483	2559
2026-09-26T02:46:13+00:00	3200107,3200110,3200129	99.8	0.482	2592
2026-09-26T02:46:43+00:00	3200107,3200110,3200129	99.8	0.482	2486
2026-09-26T02:47:13+00:00	3200107,3200110,3200129	99.8	0.482	2480
2026-09-26T02:47:43+00:00	3200107,3200110,3200129,3201003,3201004	277.4	1.189	2582
2026-09-26T02:48:13+00:00	3200107,3200110,3201566,3201631,3201663,3201695,3201727	1134.5	4.020	4927
2026-09-26T02:48:43+00:00	3200107,3200110,3201566,3201864,3201896,3201928,3201960	2579.3	9.311	7322
2026-09-26T02:49:13+00:00	3200107,3200110,3201566,3202017,3202049,3202081,3202113	2702.9	8.509	6255
2026-09-26T02:49:43+00:00	3200107,3200110,3201566	2764.0	1.525	3719
2026-09-26T02:50:13+00:00	3200107,3200110,3201566,3203190,3203222,3203254,3203286	2796.6	7.089	4897
2026-09-26T02:50:43+00:00	3200107,3200110,3201566,3203346,3203378,3203410,3203442	2805.3	7.384	5323
2026-09-26T02:51:13+00:00	3200107,3200110,3201566,3203578,3203610,3203642,3203674	2811.8	7.147	4945
2026-09-26T02:51:43+00:00	3200107,3200110,3201566,3204180,3204212,3204244,3204276	2837.4	8.008	4713
2026-09-26T02:52:13+00:00	3200107,3200110,3201566,3204825,3204859,3204892,3204924	2833.4	7.982	5855
2026-09-26T02:52:43+00:00	3200107,3200110,3201566,3204985,3205017,3205049,3205081	2839.9	8.957	6871
2026-09-26T02:53:13+00:00	3200107,3200110,3201566,3205218,3205250,3205282,3205314	2844.5	8.834	6659
2026-09-26T02:53:44+00:00	3200107,3200110,3201566,3205993,3206025,3206059,3206092	2850.8	8.213	5649
2026-09-26T02:54:14+00:00	3200107,3200110,3201566,3206229,3206301,3206365,3206433	2854.4	7.308	5233
2026-09-26T02:54:44+00:00	3200107,3200110,3201566,3206798,3206830,3206862,3206894	2857.8	7.808	5706
2026-09-26T02:55:14+00:00	3200107,3200110,3201566,3207320,3207352,3207384,3207416	2870.8	8.802	5701
2026-09-26T02:55:44+00:00	3200107,3200110,3201566,3207511,3207543,3207575,3207607	2862.2	8.029	6042
2026-09-26T02:56:14+00:00	3200107,3200110,3201566,3207770,3207802,3207834,3207866	2857.9	8.854	6753
2026-09-26T02:56:44+00:00	3200107,3200110,3201566,3208395,3208427,3208459,3208491	2855.8	8.950	6977
