# ts cpu_pct rss_gb mem_used_mb
2026-09-23T15:04:08Z	3095.0	3.31	6970
2026-09-23T15:04:38Z	3096.0	2.64	4739
2026-09-23T15:05:08Z	3097.0	2.83	6506
2026-09-23T15:05:38Z	3098.0	3.87	7583
2026-09-23T15:06:08Z	3099.0	4.59	8404
2026-09-23T15:06:38Z	3100.0	2.50	6232
2026-09-23T15:07:08Z	3100.0	3.15	6929
2026-09-23T15:07:38Z	3100.0	2.22	5958
2026-09-23T15:08:08Z	3101.0	3.33	7030
2026-09-23T15:08:38Z	3102.0	3.95	7817
2026-09-23T15:09:08Z	3102.0	4.87	8630
2026-09-23T15:09:38Z	3102.0	3.51	7244
2026-09-23T15:10:08Z	3103.0	4.78	8669
2026-09-23T15:10:38Z	3104.0	2.95	6628
2026-09-23T15:11:08Z	3104.0	3.07	6679
2026-09-23T15:11:39Z	3104.0	2.56	6275
2026-09-23T15:12:09Z	3105.0	4.01	7814
2026-09-23T15:12:39Z	3106.0	4.95	8665
2026-09-23T15:13:09Z	3106.0	4.75	8581
2026-09-23T15:13:39Z	3107.0	2.36	5971
2026-09-23T15:14:09Z	3107.0	2.28	5956
2026-09-23T15:14:39Z	3108.0	3.27	7026
2026-09-23T15:15:09Z	3108.0	5.12	8938
2026-09-23T15:15:39Z	3109.0	2.70	6412
2026-09-23T15:16:09Z	3109.0	3.11	6767
2026-09-23T15:16:39Z	3110.0	2.58	6382
2026-09-23T15:17:09Z	3110.0	3.11	6706
2026-09-23T15:17:39Z	3111.0	3.75	7448
2026-09-23T15:18:09Z	3111.0	4.37	8215
2026-09-23T15:18:39Z	3112.0	3.90	7690
2026-09-23T15:19:09Z	3112.0	3.12	6519
2026-09-23T15:19:39Z	3113.0	2.59	5987
2026-09-23T15:20:09Z	3113.0	3.55	6968
2026-09-23T15:20:39Z	3113.0	3.29	6658
2026-09-23T15:21:09Z	3114.0	4.86	8381
2026-09-23T15:21:39Z	3114.0	4.99	8534
2026-09-23T15:22:09Z	3115.0	3.98	7453
2026-09-23T15:22:39Z	3115.0	2.50	5928
2026-09-23T15:23:10Z	3115.0	2.62	5986
2026-09-23T15:23:40Z	3115.0	3.34	6786
2026-09-23T15:24:10Z	3116.0	4.87	8507
2026-09-23T15:24:40Z	3116.0	2.68	6078
2026-09-23T15:25:10Z	3116.0	3.15	6223
2026-09-23T15:25:40Z	3116.0	3.68	7133
2026-09-23T15:26:10Z	3117.0	2.29	5676
2026-09-23T15:26:40Z	3117.0	2.85	6242
2026-09-23T15:27:10Z	3118.0	3.75	7186
2026-09-23T15:27:40Z	3117.0	3.06	6421
2026-09-23T15:28:10Z	3118.0	3.86	7400
2026-09-23T15:28:40Z	3118.0	3.74	7271
2026-09-23T15:29:10Z	3118.0	4.36	7922
2026-09-23T15:29:40Z	3119.0	2.73	6191
2026-09-23T15:30:10Z	3119.0	3.12	6596
2026-09-23T15:30:40Z	3119.0	3.01	6430
2026-09-23T15:31:10Z	3119.0	2.66	6245
2026-09-23T15:31:40Z	3119.0	2.34	5688
2026-09-23T15:32:10Z	3119.0	3.59	7103
2026-09-23T15:32:40Z	3119.0	2.62	6115
2026-09-23T15:33:10Z	3120.0	2.61	6093
2026-09-23T15:33:41Z	3119.0	2.56	6032
2026-09-23T15:34:11Z	3119.0	2.85	6535
2026-09-23T15:34:41Z	3119.0	4.28	8228
2026-09-23T15:35:11Z	3118.0	4.46	8283
2026-09-23T15:35:41Z	3118.0	4.33	8260
2026-09-23T15:36:11Z	3118.0	4.15	7951
2026-09-23T15:36:41Z	3118.0	5.42	9376
2026-09-23T15:37:11Z	3117.0	4.07	8000
2026-09-23T15:37:41Z	3117.0	2.36	6102
2026-09-23T15:38:11Z	3116.0	5.18	9196
2026-09-23T15:38:41Z	3115.0	2.43	6267
2026-09-23T15:39:11Z	3115.0	5.27	9282
2026-09-23T15:39:41Z	3113.0	4.88	8761
2026-09-23T15:40:11Z	3112.0	2.92	6601
2026-09-23T15:40:41Z	3111.0	2.20	6053
2026-09-23T15:41:11Z	3110.0	3.97	7665
2026-09-23T15:41:41Z	3110.0	4.89	8965
2026-09-23T15:42:11Z	3110.0	3.21	6992
2026-09-23T15:42:41Z	3110.0	4.09	7792
2026-09-23T15:43:11Z	3111.0	4.63	8405
2026-09-23T15:43:41Z	3111.0	4.01	7734
2026-09-23T15:44:11Z	3111.0	3.11	6734
2026-09-23T15:44:41Z	3111.0	5.29	9086
2026-09-23T15:45:12Z	3111.0	4.79	8543
2026-09-23T15:45:42Z	3112.0	3.26	7048
2026-09-23T15:46:12Z	3112.0	3.05	6670
2026-09-23T15:46:42Z	3112.0	5.09	8886
2026-09-23T15:47:12Z	3112.0	4.04	7731
2026-09-23T15:47:42Z	3112.0	3.80	7581
2026-09-23T15:48:12Z	3113.0	2.62	6128
2026-09-23T15:48:42Z	3113.0	2.56	6101
2026-09-23T15:49:12Z	3113.0	2.81	6343
2026-09-23T15:49:42Z	3113.0	2.84	6413
2026-09-23T15:50:12Z	3113.0	3.48	7108
2026-09-23T15:50:42Z	3113.0	3.50	7003
2026-09-23T15:51:12Z	3113.0	3.28	5246
2026-09-23T15:51:42Z	3114.0	2.86	6411
2026-09-23T15:52:12Z	3114.0	3.48	7021
2026-09-23T15:52:42Z	3114.0	3.46	7031
2026-09-23T15:53:12Z	3114.0	3.98	7572
2026-09-23T15:53:42Z	3114.0	2.88	6364
2026-09-23T15:54:12Z	3115.0	4.09	7769
2026-09-23T15:54:42Z	3115.0	4.27	7898
2026-09-23T15:55:12Z	3115.0	4.57	8470
2026-09-23T15:55:43Z	3115.0	4.26	7923
2026-09-23T15:56:13Z	3115.0	4.21	7883
2026-09-23T15:56:43Z	3115.0	4.25	7844
2026-09-23T15:57:13Z	3116.0	5.41	9148
2026-09-23T15:57:43Z	3116.0	4.09	7892
2026-09-23T15:58:13Z	3116.0	4.30	7767
2026-09-23T15:58:43Z	3116.0	5.18	8813
2026-09-23T15:59:13Z	3116.0	4.36	8161
2026-09-23T15:59:43Z	3116.0	3.94	7619
2026-09-23T16:00:13Z	3116.0	4.74	8401
2026-09-23T16:00:43Z	3116.0	3.50	7214
2026-09-23T16:01:13Z	3116.0	3.63	7287
2026-09-23T16:01:43Z	3117.0	4.87	8566
2026-09-23T16:02:13Z	3117.0	4.13	7775
2026-09-23T16:02:43Z	3117.0	3.09	6646
2026-09-23T16:03:13Z	3117.0	3.38	7091
2026-09-23T16:03:43Z	3117.0	2.64	6163
2026-09-23T16:04:13Z	3117.0	2.65	6126
2026-09-23T16:04:43Z	3117.0	3.58	7079
2026-09-23T16:05:14Z	3117.0	2.23	5647
2026-09-23T16:05:44Z	3118.0	2.69	6201
2026-09-23T16:06:14Z	3118.0	2.87	6523
2026-09-23T16:06:44Z	3118.0	2.66	6275
2026-09-23T16:07:14Z	3117.0	4.51	8487
2026-09-23T16:07:44Z	3117.0	3.86	7689
