timestamp	pids	cpu_pct	rss_gb	system_mem_mb
2026-09-24T09:25:50+00:00	712039	0.0	0.012	1947
2026-09-24T09:26:20+00:00	712039,712042,712061,712139	120.6	0.693	2267
2026-09-24T09:26:50+00:00	712039,712042,712061,712139	108.8	0.693	2353
2026-09-24T09:27:20+00:00	712039,712042,712659,713000,713032,713064,713096	2612.4	9.867	6769
2026-09-24T09:27:50+00:00	712039,712042,712659,713499,713531,713563,713595	2828.6	7.470	4202
2026-09-24T09:28:20+00:00	712039,712042,712659,714131,714163,714195,714227	2875.0	7.941	5703
2026-09-24T09:28:50+00:00	712039,712042,712659,714738,714770,714802,714834	2909.3	9.000	6763
2026-09-24T09:29:20+00:00	712039,712042,712659,715275,715307,715339,715371	2921.6	7.111	4583
2026-09-24T09:29:50+00:00	712039,712042,712659,716208,716240,716272,716304	2935.3	9.347	6915
2026-09-24T09:30:20+00:00	712039,712042,712659	2935.0	1.512	4622
2026-09-24T09:30:50+00:00	712039,712042,712659,717664,717696,717728,717760	2940.2	8.987	6763
2026-09-24T09:31:20+00:00	712039,712042,712659,718296,718328,718360,718392	2940.8	7.454	4990
2026-09-24T09:31:50+00:00	712039,712042,712659,718845,718877,718909,718941	2946.5	8.347	4947
2026-09-24T09:32:20+00:00	712039,712042,712659,719482,719514,719546,719578	2944.0	7.767	5565
2026-09-24T09:32:50+00:00	712039,712042,712659,720144,720176,720208,720240	2946.5	7.893	5591
2026-09-24T09:33:21+00:00	712039,712042,712659,721010,721042,721074,721106	2948.8	8.492	6260
2026-09-24T09:33:51+00:00	712039,712042,712659,721590,721623,721655,721687	2966.0	7.424	4129
2026-09-24T09:34:21+00:00	712039,712042,712659,722246,722278,722310,722342	2951.1	9.669	7459
2026-09-24T09:34:51+00:00	712039,712042,712659,722873,722905,722937,722969	2953.5	7.754	5560
2026-09-24T09:35:21+00:00	712039,712042,712659,723458,723490,723522,723554	2955.7	8.898	6295
2026-09-24T09:35:51+00:00	712039,712042,712659,724020,724052,724084,724116	2964.9	7.675	4398
